sectperf,unit,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
GOV,PC_GDP,SK,0.16 ,0.15 d,0.15 d,0.18 d,0.15 d,0.15 d,0.16 d,0.16 d,0.15 d,0.16 d,0.18 d,0.18 d,0.19 d,0.17 d,0.25 d,0.32 ,0.17 ,0.18 ,0.18 ,0.16 ,0.18 ,0.17 
GOV,PC_GDP,TR,0.03 ,0.04 ,0.04 ,0.05 ,0.04 ,0.07 ,0.06 ,0.07 ,0.08 ,0.1 ,0.09 ,0.09 ,0.09 ,0.08 ,0.08 ,0.09 ,0.09 d,0.09 d,0.09 ,0.07 ,0.07 ,: 
GOV,PC_GDP,UK,0.2 ,0.16 b,0.15 ,0.16 ,0.16 ,0.16 ,0.16 ,0.15 ,0.15 ,0.15 ,0.16 ,0.14 ,0.13 ,0.13 ,0.12 ,0.11 ,0.11 ,0.11 ,0.11 ,0.12 p,: ,: 
GOV,PC_GDP,US,0.28 d,0.31 d,0.33 d,0.33 d,0.32 e,0.31 d,0.31 d,0.31 d,0.31 d,0.34 d,0.35 ,0.35 ,0.33 ,0.31 ,0.31 ,0.3 ,0.28 ,0.28 ,0.29 ,0.3 ,0.32 ,: 
HES,PC_GDP,AT,: ,: ,0.56 ,: ,0.58 ,0.59 e,0.57 ,0.58 ,0.64 e,0.68 ,0.7 e,0.68 ,0.72 e,0.72 ,0.73 e,0.72 ,0.69 e,0.69 ,0.69 e,0.68 ,0.72 e,0.71 e
HES,PC_GDP,BA,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.07 ,0.11 ,0.16 ,: ,: ,: ,: ,0.11 ,0.12 ,: 
HES,PC_GDP,BE,0.39 ,0.4 ,0.4 ,0.41 ,0.4 ,0.4 ,0.39 ,0.39 ,0.42 ,0.47 ,0.48 ,0.49 ,0.49 ,0.51 ,0.49 ,0.49 ,0.53 ,0.53 ,0.53 ,0.53 ,0.57 e,0.49 p
HES,PC_GDP,BG,0.05 ,0.05 ,0.05 ,0.05 ,0.04 ,0.05 ,0.04 ,0.04 ,0.04 ,0.07 ,0.07 ,0.05 ,0.05 ,0.05 ,0.07 ,0.05 ,0.04 ,0.04 ,0.04 ,0.06 ,0.05 ,0.05 p
HES,PC_GDP,CH,0.52 ,: ,0.57 ,: ,0.59 ,: ,0.58 ,: ,0.64 ,: ,0.7 ,: ,0.8 ,: ,0.84 ,0.87 ,: ,0.9 ,: ,0.91 ,: ,: 
HES,PC_GDP,CY,0.06 ,0.06 ,0.08 ,0.1 ,0.12 ,0.14 ,0.16 ,0.18 ,0.17 ,0.21 ,0.22 ,0.24 ,0.24 ,0.26 ,0.25 ,0.24 ,0.21 ,0.22 ,0.25 ,0.27 ,0.3 ,0.29 p
