indicator,age,sex,reason,unit,quantile,geo\time,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
ind1,Y_GE16,T,TOOEFW,PC,TOTAL,HU,3.4 ,2.1 ,1.7 ,2.7 ,2.9 ,2.6 ,2.5 ,2.6 ,1.3 ,1.0 ,0.8 ,1.0 ,0.7 ,1.1 ,: 
ind1,Y_GE16,T,TOOEFW,PC,TOTAL,IE,1.8 ,2.0 ,2.1 ,2.2 ,3.4 ,3.3 ,3.7 ,2.7 ,2.5 ,2.8 ,2.0 ,2.0 ,2.0 b,2.0 ,: 
ind1,Y_GE16,T,TOOEFW,PC,TOTAL,IS,1.7 ,2.2 ,3.1 ,3.8 ,4.2 ,3.6 ,4.4 ,4.3 ,2.9 ,3.5 ,3.4 ,: ,: ,: ,: 
ind1,Y_GE16,T,TOOEFW,PC,TOTAL,IT,5.2 ,5.4 ,5.2 ,5.9 ,5.7 ,7.0 ,7.0 ,7.2 ,5.5 ,1.8 ,2.4 ,1.8 ,: ,1.8 ,: 
ind1,Y_GE16,T,TOOEFW,PC,TOTAL,LT,5.7 ,3.1 ,2.6 ,2.8 ,2.3 ,3.2 ,3.7 ,2.9 ,3.1 ,1.5 ,2.2 ,1.4 ,1.7 ,2.4 ,: 
ind1,Y_GE16,T,TOOEFW,PC,TOTAL,LU,0.6 ,0.6 ,0.6 ,0.6 ,0.7 ,0.9 ,0.8 ,0.9 ,0.4 ,0.3 ,0.3 ,0.2 ,0.1 b,1.0 b,: 
ind1,Y_GE16,T,TOOEFW,PC,TOTAL,LV,9.9 ,9.9 ,15.1 ,16.1 ,12.4 ,13.8 ,12.5 ,8.4 b,8.2 ,6.2 ,6.2 ,4.3 ,5.3 ,4.0 ,: 
ind1,Y_GE16,T,TOOEFW,PC,TOTAL,ME,: ,: ,: ,: ,: ,11.3 ,8.3 ,4.4 ,2.7 ,2.7 ,2.3 ,3.1 ,2.1 ,: ,: 
ind1,Y_GE16,T,TOOEFW,PC,TOTAL,MK,: ,: ,11.4 ,8.3 ,7.7 ,6.6 ,4.8 ,2.9 ,2.9 ,2.5 ,2.3 ,2.5 ,1.7 ,: ,: 
ind1,Y_GE16,T,TOOEFW,PC,TOTAL,MT,0.7 ,1.4 ,1.6 ,1.1 ,1.2 ,0.9 ,1.1 ,0.8 ,1.0 ,0.2 ,0.2 ,0.0 n,0.0 n,0.1 ,: 
ind1,Y_GE16,T,TOOEFW,PC,TOTAL,NL,0.3 ,0.3 ,0.4 ,0.4 ,0.5 ,0.4 ,0.5 ,0.1 ,0.2 ,0.1 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 
ind1,Y_GE16,T,TOOEFW,PC,TOTAL,NO,1.3 ,1.3 ,1.4 ,1.6 ,1.3 ,1.5 ,0.8 ,1.1 ,1.1 ,1.3 ,1.4 ,1.0 ,0.9 ,: ,: 
