indicator,nrg_bal,unit,geo\time,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
ind7,REN_HEAT_CL,PC,IE,2.873 ,3.442 ,3.592 ,3.786 ,3.513 ,4.181 ,4.281 ,4.657 ,4.849 ,5.185 ,6.261 ,6.184 ,6.243 ,6.624 ,6.381 ,6.344 ,6.264 ,5.174 
ind7,REN_HEAT_CL,PC,IS,52.343 ,53.725 ,57.194 ,60.910 ,64.080 ,64.412 ,66.188 ,68.100 ,68.750 ,65.893 ,67.025 ,69.196 ,78.245 ,78.253 ,79.949 ,80.896 ,80.504 ,97.267 
ind7,REN_HEAT_CL,PC,IT,5.713 ,8.223 ,10.094 ,13.334 ,15.311 ,16.431 ,15.642 ,13.818 ,16.984 ,18.092 ,18.914 ,19.255 ,18.887 ,20.083 ,19.279 ,19.699 ,19.949 ,19.713 
ind7,REN_HEAT_CL,PC,LT,30.439 ,29.318 ,29.227 ,29.094 ,31.992 ,33.720 ,32.534 ,32.788 ,34.535 ,36.873 ,40.628 ,46.081 ,46.563 ,46.495 ,46.016 ,47.372 ,50.350 ,48.627 
ind7,REN_HEAT_CL,PC,LU,1.822 ,3.612 ,3.630 ,4.354 ,4.571 ,4.629 ,4.704 ,4.736 ,4.932 ,5.330 ,7.070 ,6.858 ,7.058 ,7.450 ,8.362 ,8.687 ,12.614 ,12.918 
ind7,REN_HEAT_CL,PC,LV,42.488 ,42.679 ,42.594 ,42.363 ,42.937 ,47.887 ,40.745 ,44.710 ,47.265 ,49.650 ,52.150 ,51.738 ,51.812 ,54.582 ,55.413 ,57.749 ,57.094 ,57.378 
ind7,REN_HEAT_CL,PC,ME,: ,52.907 ,51.358 ,49.126 ,46.008 ,62.078 ,76.478 ,81.291 ,79.793 ,68.492 ,67.618 ,68.543 ,69.085 ,65.679 ,64.497 ,62.648 ,64.782 ,63.498 
ind7,REN_HEAT_CL,PC,MK,23.308 ,24.681 ,24.917 ,22.491 ,24.642 ,29.207 ,26.503 ,27.338 ,29.595 ,31.762 ,34.991 ,34.474 ,30.924 ,36.301 ,32.450 ,32.066 ,33.729 ,32.307 
ind7,REN_HEAT_CL,PC,MT,1.035 ,1.028 ,1.363 ,1.507 ,1.696 ,2.011 ,7.282 ,12.026 ,13.397 ,15.399 ,15.028 ,14.639 ,16.854 ,19.314 ,22.825 ,23.602 ,23.027 ,31.356 
ind7,REN_HEAT_CL,PC,NL,2.178 ,2.379 ,2.700 ,2.914 ,3.024 ,3.370 ,3.100 ,3.688 ,3.768 ,4.002 ,4.925 ,5.278 ,5.192 ,5.750 ,6.160 ,7.217 ,8.053 ,7.720 
ind7,REN_HEAT_CL,PC,NO,25.549 ,28.837 ,28.435 ,29.326 ,30.918 ,31.814 ,33.727 ,34.671 ,33.968 ,32.758 ,30.907 ,32.674 ,32.346 ,32.464 ,33.099 ,35.384 ,36.126 ,32.924 
