wstatus,age,unit,geo\time,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
UEMP_PT,Y20-64,PC_PNT,CY,-1.5 ,-1.6 ,-1.4 ,-1.9 ,-3.1 ,-2.8 ,-1.9 ,0.0 ,-1.6 ,-1.6 ,-2.2 ,-2.4 ,-1.7 
UEMP_PT,Y20-64,PC_PNT,CZ,-0.6 ,-0.9 ,-0.7 b,-0.7 ,-1.1 ,-0.9 ,-0.7 ,-0.7 ,-0.5 ,-0.4 ,-0.3 ,-0.3 ,-0.4 
UEMP_PT,Y20-64,PC_PNT,DE,-3.9 ,-3.8 b,-3.1 b,-2.9 ,-2.8 ,-2.6 ,-2.5 ,-2.2 ,-1.9 ,-1.7 ,-1.5 ,-1.5 b,-1.2 
UEMP_PT,Y20-64,PC_PNT,DK,-1.6 ,-1.8 ,-1.8 ,-2.0 ,-1.8 ,-1.6 ,-1.5 ,-2.3 b,-1.8 b,-1.9 ,-1.5 ,-2.0 ,-1.6 
UEMP_PT,Y20-64,PC_PNT,EA19,-4.4 ,-4.5 ,-4.2 ,-4.4 ,-4.7 ,-4.6 ,-4.4 ,-4.0 ,-3.9 ,-3.7 ,-3.3 ,-3.3 ,-3.1 
UEMP_PT,Y20-64,PC_PNT,EA20,-4.4 ,-4.4 ,-4.2 ,-4.3 ,-4.7 ,-4.6 ,-4.4 ,-4.0 ,-3.8 ,-3.6 ,-3.4 ,-3.3 ,-3.1 
UEMP_PT,Y20-64,PC_PNT,EE,-0.2 ,-1.3 ,-1.7 ,-0.9 ,-0.3 ,-0.2 ,-0.8 ,-0.5 ,-0.2 u,-0.2 ,-0.2 ,-0.5 ,-0.6 
UEMP_PT,Y20-64,PC_PNT,EL,-2.7 ,-2.4 ,-2.3 ,-3.8 ,-4.1 ,-3.7 ,-3.5 ,-3.9 ,-4.1 ,-3.6 ,-3.8 ,-3.4 ,-3.1 
UEMP_PT,Y20-64,PC_PNT,ES,-6.6 ,-6.9 ,-7.0 ,-8.1 ,-8.5 ,-8.7 ,-7.6 ,-6.6 ,-6.8 ,-6.7 ,-6.3 ,-5.8 ,-6.4 d
UEMP_PT,Y20-64,PC_PNT,EU27_2020,-3.6 ,-3.7 ,-3.4 ,-3.7 ,-3.9 ,-3.8 ,-3.6 ,-3.2 ,-3.1 ,-2.9 ,-2.7 ,-2.7 ,-2.5 
