sex,incgrp,age,unit,geo\time,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
T,TOTAL,TOTAL,PC,EL,: ,24.7 ,22.7 ,24.6 ,15.8 ,22.2 ,21.8 ,18.1 ,24.2 ,33.1 ,36.9 ,44.9 ,45.5 ,40.5 ,39.6 ,39.5 ,36.2 ,33.3 ,28.8 ,: 
T,TOTAL,TOTAL,PC,ES,: ,4.9 ,5.3 ,7.4 ,8.3 ,9.4 b,10.4 ,9.7 ,10.0 ,10.7 ,10.3 ,10.9 ,10.3 ,10.2 ,9.8 ,8.9 ,8.5 ,8.2 ,9.9 ,: 
T,TOTAL,TOTAL,PC,EU,: ,: ,: ,: ,10.7 e,10.5 e,9.9 e,10.8 ,11.4 ,11.0 ,11.1 ,11.6 e,11.4 e,11.1 e,10.4 e,10.3 e,10.1 e,: ,: ,: 
T,TOTAL,TOTAL,PC,EU27_2007,: ,: ,11.4 e,11.6 e,10.7 e,10.5 e,9.9 e,10.7 ,11.4 ,11.0 ,11.1 ,11.7 ,11.4 ,11.1 ,10.5 ,10.3 ,10.2 e,: ,: ,: 
T,TOTAL,TOTAL,PC,EU27_2020,: ,: ,: ,: ,: ,: ,: ,10.0 ,10.6 ,11.5 ,11.6 ,11.5 e,11.2 e,10.9 e,10.1 e,9.6 e,9.4 e,7.8 ,8.3 e,: 
T,TOTAL,TOTAL,PC,EU28,: ,: ,: ,: ,: ,: ,: ,10.8 ,11.4 ,11.0 ,11.1 ,11.6 ,11.4 ,11.1 ,10.4 ,10.3 ,10.1 e,: ,: ,: 
T,TOTAL,TOTAL,PC,FI,: ,3.8 ,3.5 ,3.7 ,4.7 ,4.7 ,4.4 ,4.2 ,4.4 ,4.5 ,4.9 ,5.1 ,4.9 ,4.4 ,4.3 ,4.3 ,4.0 ,4.1 ,4.3 ,: 
T,TOTAL,TOTAL,PC,FR,: ,5.4 ,5.3 ,6.0 ,5.7 ,4.2 ,4.0 ,5.1 ,5.2 ,5.2 ,5.2 ,5.1 ,5.7 ,5.2 ,5.0 ,4.7 ,5.5 ,5.6 b,: ,: 
T,TOTAL,TOTAL,PC,HR,: ,: ,: ,: ,: ,: ,: ,14.1 ,8.0 ,6.8 ,8.4 ,7.5 ,7.2 ,6.4 ,5.8 ,5.1 ,4.7 ,4.2 ,4.5 ,: 
T,TOTAL,TOTAL,PC,HU,: ,: ,18.1 ,12.3 ,10.9 ,11.6 ,8.9 ,11.3 ,13.0 ,14.7 ,14.3 ,12.8 ,8.5 ,8.8 ,10.7 ,9.6 ,4.2 ,4.9 ,2.4 ,: 
